DATE,DVV,CC
2005-09-23,0.0011203332710919523,0.6531450086729909
2005-09-25,-0.05805111208107805,0.6806622224157217
2005-09-26,-0.05868906440096986,0.6582514728982406
2005-09-27,-0.06549002587166124,0.6299292099539721
2005-09-28,-0.06578920603957664,0.6144997191713789
2005-10-04,-0.06618853629253404,0.6387222076289082
2005-10-05,-0.06787329590213052,0.6574166438281662
2005-10-06,-0.06679240295682516,0.6573798152420378
2005-10-07,-0.06632476663054367,0.6642240172000053
2005-10-08,-0.06883359097705996,0.6517829283552424
2005-10-09,-0.061858749370339965,0.6485335255918034
2005-10-10,-0.06496489234112933,0.6566599163545837
2005-10-11,-0.06225420950464285,0.6545582637617974
2005-10-12,-0.061263257487408664,0.6528399778434628
2005-10-13,-0.05521383081961652,0.650780906739169
2005-10-14,-0.054216106795866456,0.6590041429807092
2005-10-16,-0.0597525658741602,0.6700591634399387
2005-10-17,-0.06420360030466658,0.6803208906114009
2005-10-18,-0.0647255932577467,0.6811085050769214
2005-10-19,-0.06535802702378622,0.6876125392380394
2005-10-20,-0.06781128189660748,0.6907881252872817
2005-10-21,-0.07477854140286765,0.695306821219962
2005-10-22,-0.07689172820245774,0.6988798292027175
2005-10-23,-0.07877998002142333,0.7031374695121633
2005-10-24,-0.08071559399342229,0.7071866209947749
2005-10-25,-0.08272480151019909,0.7139942734089718
2005-10-26,-0.08260310216790176,0.720624125768901
2005-10-27,-0.08488243389902188,0.7253363882793242
2005-10-29,-0.08331498350048543,0.7242645281882895
2005-10-30,-0.08000050159465903,0.7181577650878839
2005-10-31,-0.07557629509396767,0.717590478276181
2005-11-01,-0.07413942936761687,0.7177654509777466
2005-11-04,-0.07474362144990446,0.7216217737207634
2005-11-05,-0.0743922258273619,0.7221137484817799
2005-11-06,-0.0752540512117692,0.7262814850867596
2005-11-07,-0.07571405049709817,0.7307584704666583
2005-11-09,-0.07667789353094857,0.7343885466520774
2005-11-10,-0.07905229061155142,0.7383095017320804
2005-11-11,-0.07985768364239958,0.7413377583651626
2005-11-12,-0.08091038552792953,0.7440349953608227
2005-11-13,-0.08180018377276835,0.7462727197604191
2005-11-14,-0.089779241376516,0.7491451320726431
2005-11-15,-0.08501462784056679,0.7521434393215489
2005-11-16,-0.08518946072984455,0.7541578793530754
2005-11-17,-0.09070417435595332,0.7531649163279078
2005-11-18,-0.083736639962696,0.7529608560811617
2005-11-19,-0.08256332253538641,0.7489023891946581
2005-11-20,-0.08024806838974559,0.7441097127355112
2005-11-21,-0.0787333674991462,0.7412501961558178
2005-11-22,-0.07784417597446322,0.7402408095693265
2005-11-23,-0.07742243600240763,0.7398224770647803
2005-11-24,-0.07525453134586738,0.7366130281702998
2005-11-25,-0.07479357432743884,0.7381873895110626
2005-11-26,-0.07337563919995965,0.7361161851963524
2005-11-27,-0.07177080787319585,0.733264109976042
2005-11-28,-0.07066473856217281,0.7313186941658231
2005-11-29,-0.07049466758335675,0.7329995471700248
2005-11-30,-0.06962463871187333,0.7307461506774807
2005-12-01,-0.069565315946203,0.732996146680784
2005-12-02,-0.06940969150459313,0.7325790270285202
2005-12-03,-0.06869578840455076,0.7311644445379932
2005-12-04,-0.06812061655018123,0.7315372648785209
2005-12-05,-0.06707029760485923,0.7293283300516383
2005-12-06,-0.06540059277121651,0.7267745966493393
2005-12-07,-0.06388654554268602,0.7239762660619747
2005-12-08,-0.06063718997493075,0.7208724196709396
2005-12-09,-0.05292965466878206,0.7188143633286996
2005-12-10,-0.05162381275982117,0.7172837567635489
2005-12-11,-0.05026822943433568,0.715440005286436
2005-12-12,-0.03987768374395552,0.7134956282508614
2005-12-13,-0.03873395198254071,0.7119733965018699
2005-12-14,-0.037598154228314765,0.7101755294499684
2005-12-15,-0.025659456250229126,0.7086464905949169
2005-12-16,-0.024137587001290768,0.7072776169305156
2005-12-17,-0.022316077671878435,0.7058877548330078
2005-12-18,-0.022034571386107468,0.707505450762121
2005-12-19,-0.03306592217367547,0.7099361229753139
2005-12-20,-0.033287466263375455,0.712380873756846
2005-12-21,-0.03327580921791199,0.7143844342829513
2005-12-22,-0.03315037872268725,0.7164860945104781
2005-12-23,-0.07579152410793855,0.7196266098477783
2005-12-24,-0.07552177464312171,0.7218569478896005
2005-12-25,-0.0747068557047248,0.7249700123449462
2005-12-26,-0.07396963862192787,0.7286686011612475
2005-12-27,-0.07321715948708128,0.7321501055738847
2005-12-28,-0.07284560528717617,0.7339268634209428
2005-12-29,-0.07416468557871624,0.7361442139335227
2005-12-30,-0.07410698171840481,0.7377560389455217
2005-12-31,-0.07371186504248028,0.7393813091655401
2006-01-01,-0.07378304491681716,0.7411846599801831
2006-01-02,-0.07414668807850044,0.7434970720308016
2006-01-03,-0.07117012798203662,0.7440475977461277
2006-01-04,-0.07141804519702052,0.7467469000755835
2006-01-05,-0.07045178803522091,0.7485344800844864
2006-01-06,-0.03629570084451689,0.7516552370940841
2006-01-07,-0.0362457387678028,0.7545517351812678
2006-01-09,-0.03688287518332596,0.7565189459213599
2006-01-10,-0.03632635719197248,0.758829946396541
2006-01-11,-0.02691790868144722,0.761384493718312
2006-01-13,-0.02667889797258689,0.7628224415335261
2006-01-14,-0.1557274705520555,0.7636186948304664
2006-01-18,-0.15231007010679617,0.7629862361015797
2006-01-19,-0.15082407873286946,0.7638574629598416
2006-01-20,-0.14915818731756839,0.7647007627398285
2006-01-21,-0.1477563215146577,0.765854319430752
2006-01-22,-0.1460005903674554,0.7662820641198707
2006-01-23,-0.14512867099741095,0.7659810658500651
