DATE,DVV,CC
2013-12-18,-1.4327297768082083,0.8364457552172564
2013-12-19,-1.058418753475633,0.8754896624690762
2013-12-20,-0.9942448422011149,0.8710783406053177
2013-12-21,-0.9258906417664682,0.9011574521409307
2013-12-22,-0.8374679007259676,0.9078750080870998
2013-12-23,-0.8281275338559148,0.9074954530510771
2013-12-24,-0.9268042259833738,0.9016678432349866
2013-12-25,-0.8681061871672382,0.9072657689294945
2013-12-26,-0.8600792434478077,0.9049517578526778
2013-12-27,-0.8524793000409726,0.9036938605682763
2013-12-28,-0.8391005375251529,0.9062671760850952
2013-12-29,-0.8045585852109672,0.9072735976217952
2013-12-30,-0.7925400891631141,0.9067521647295007
2013-12-31,-0.7834715612936426,0.9064684229897892
2014-01-01,-0.7781638944560495,0.9088418463703137
2014-01-02,-0.7446002885443352,0.9098751045120341
2014-01-03,-0.7322111721637925,0.9086172989846383
2014-01-04,-0.7239666901364952,0.9117326159312862
2014-01-05,-0.7082752902344974,0.9140757029637805
2014-01-06,-0.7012167134751162,0.9156714906621753
2014-01-07,-0.6892981482846412,0.9169741059839941
2014-01-08,-0.6784946777020412,0.9168766116756805
2014-01-09,-0.661058418784692,0.9179115254078112
2014-01-10,-0.6517013662703671,0.9207624444123184
2014-01-11,-0.6372310317377147,0.921746179993081
2014-01-12,-0.5771574446239646,0.922712363016431
2014-01-13,-0.5524366433615482,0.9236003984041673
2014-01-14,-0.5466969141498523,0.9237367829399021
2014-01-15,-0.5390398296304734,0.9240508188771351
2014-01-16,-0.5288407106745578,0.9238615850292443
2014-01-17,-0.5201711262768448,0.9239305934578628
2014-01-18,-0.5027337300486447,0.9236223664630846
2014-01-19,-0.4837260018568247,0.9228963350629467
2014-01-20,-0.4770503577322296,0.9231112421321833
2014-01-21,-0.48758680474274196,0.9229988966156577
2014-01-22,-0.47761162487091874,0.9227232623252716
2014-01-23,-0.47055239841437907,0.9226807379773551
2014-01-24,-0.492418997529494,0.9225164990344547
2014-01-25,-0.48313973533384236,0.9227731052616226
2014-01-26,-0.47581159577980875,0.9232407624291954
2014-01-27,-0.4725193726263648,0.9240373472910196
2014-01-28,-0.4931046559380863,0.9243210264075516
2014-01-29,-0.5031773846455656,0.9248523622122663
2014-01-30,-0.5027636437290903,0.9261028161345343
2014-01-31,-0.5101878162515104,0.9267620360443454
2014-02-01,-0.5265581720514065,0.9291636503408504
2014-02-02,-0.5387449825340577,0.9306056344399277
2014-02-03,-0.5444893331697278,0.9309712583424774
2014-02-04,-0.5415455998113099,0.93105845563919
2014-02-05,-0.5404696644996158,0.9309170787843595
2014-02-06,-0.5403153983995336,0.9311381620087826
2014-02-07,-0.5560751219279504,0.9317372656063079
2014-02-08,-0.593536431407368,0.93543345998381
2014-02-09,-0.6298156466935796,0.9373667448473328
2014-02-10,-0.6395154044466373,0.9391080452062066
2014-02-11,-0.6489404055957441,0.9392452911642272
2014-02-12,-0.6581176362399067,0.9398494335077693
2014-02-13,-0.6626358869640729,0.9399940924760027
2014-02-14,-0.6640548771360243,0.9400868115159038
2014-02-15,-0.6480539350057467,0.9396810723760594
2014-02-16,-0.650059538348445,0.9409622956953786
2014-02-17,-0.6496023238471834,0.9410274173848838
2014-02-18,-0.647802980845949,0.9406395531504438
2014-02-19,-0.6427776681840319,0.9402369468706725
2014-02-20,-0.64140891890016,0.939927938882311
2014-02-21,-0.6403430665840685,0.9398754415175339
2014-02-22,-0.639488658989698,0.9387977937089905
2014-02-23,-0.6351162494818183,0.9385194515036565
2014-02-24,-0.6339173073212855,0.9386156381995738
2014-02-25,-0.631026604580205,0.9387588419544023
2014-02-26,-0.6274847974749757,0.9386918192320411
2014-02-27,-0.6341521331760172,0.9396515823113575
2014-02-28,-0.6437330180644013,0.9411847642882332
2014-03-01,-0.6715256085085782,0.9420596887551758
2014-03-02,-0.6957318964490148,0.942613291031668
2014-03-03,-0.7039526778061668,0.943238076748996
2014-03-04,-0.7078121508836922,0.9435993132902051
2014-03-05,-0.7096128171569595,0.9442667763609706
2014-03-06,-0.7104461975905517,0.9447354816016357
2014-03-07,-0.6816402444498255,0.9448734427275478
2014-03-08,-0.6796919804763087,0.9453440050544398
2014-03-09,-0.6472879038285027,0.9453810516946508
2014-03-10,-0.6443376870034827,0.9459387829699043
2014-03-11,-0.6253014129118538,0.9460598008216717
2014-03-12,-0.6213261295362251,0.94620788708018
2014-03-13,-0.6167116221003278,0.9466695984467973
2014-03-14,-0.6112434092178008,0.9470186331340031
2014-03-15,-0.6061938272527416,0.9471098058046971
2014-03-16,-0.5962651576474325,0.9469564396082808
2014-03-17,-0.589864270155958,0.9473012012675783
2014-03-18,-0.5769060118054723,0.9468049216325586
2014-03-19,-0.5704504189176797,0.9465713397209153
2014-03-20,-0.5637041749167659,0.9470456286672118
2014-03-21,-0.5529459651341091,0.94760891926198
2014-03-22,-0.542691953492443,0.9489512914794057
2014-03-23,-0.5236255383244327,0.9490374240753774
2014-03-24,-0.5142184748772993,0.9487371396230528
2014-03-25,-0.506033883483764,0.9503817951708291
2014-03-26,-0.4975917629317351,0.9499125013840818
2014-03-27,-0.47530720893364,0.9491928911674216
2014-03-28,-0.4544111251595408,0.948776344823231
2014-03-29,-0.449849843659359,0.9495714085857756
2014-03-30,-0.4686664720020375,0.9481022629590669
2014-03-31,-0.4587264026404381,0.9476629789373161
2014-04-01,-0.4659256891954736,0.9481614508224881
2014-04-02,-0.47582426089657925,0.9479509121588248
2014-04-03,-0.4820959962247632,0.947932682753011
2014-04-04,-0.4804388351003897,0.949437183948447
